安电通项目文件整理清单

序号,文件/目录名称,类型,位置,说明,状态
1,package.json,配置文件,根目录,NPM 依赖配置,[核心]
2,tsconfig.json,配置文件,根目录,TypeScript 配置,[核心]
3,vite.config.ts,配置文件,根目录,Vite 构建配置,[核心]
4,capacitor.config.json,配置文件,根目录,Capacitor 原生容器配置,[核心]
5,manifest.json,配置文件,根目录,PWA 清单配置,[核心]
6,metadata.json,配置文件,根目录,元数据配置,[核心]
7,.gitignore,配置文件,根目录,Git 忽略配置,[核心]
8,App.tsx,源代码,根目录,应用主组件,[核心]
9,index.tsx,源代码,根目录,应用入口文件,[核心]
10,types.ts,源代码,根目录,TypeScript 类型定义,[核心]
11,CLAUDE.md,文档,根目录,项目开发指南,[核心]
12,README.md,文档,根目录,项目说明文档,[核心]
13,项目整理报告.md,文档,根目录,项目整理报告,[核心]
14,pages/,目录,根目录,前端页面组件 (78 个 TSX 文件),[核心]
15,components/,目录,根目录,公共组件,[核心]
16,context/,目录,根目录,全局状态管理,[核心]
17,backend/,目录,根目录,后端 Java 服务,[核心]
18,android/,目录,根目录,Android 原生项目,[核心]
19,PRD/,目录,根目录,产品需求文档,[核心]
20,docs/,目录,根目录,项目文档,[核心]
21,legal_docs/,目录,根目录,法律文档,[核心]
22,public/,目录,根目录,静态资源,[核心]
23,services/,目录,根目录,服务层,[核心]

【归档】冷数据_非必要不启用
24,01_临时脚本/,目录,【归档】冷数据_非必要不启用,24 个 Python 脚本,[归档]
25,02_旧版本软著材料/,目录,【归档】冷数据_非必要不启用,旧版本文档,[归档]
26,03_重复文档目录/,目录,【归档】冷数据_非必要不启用,重复的文档,[归档]
27,04_历史版本材料/,目录,【归档】冷数据_非必要不启用,历史版本,[归档]
28,05_散落文档/,目录,【归档】冷数据_非必要不启用,散落文件,[归档]
29,阿里云 OSS 部署指南.md,Markdown,【归档】冷数据_非必要不启用,部署指南,[归档]
30,安电通 - 汇报材料合集.zip,压缩包,【归档】冷数据_非必要不启用,汇报材料,[归档]
31,deploy-to-oss.ps1,脚本,【归档】冷数据_非必要不启用,部署脚本,[归档]
32,MCP 配置相关文件,JSON/MD,【归档】冷数据_非必要不启用,MCP 配置,[归档]
33,AI/MCP相关文档,Markdown,【归档】冷数据_非必要不启用,AI 相关,[归档]
